text,role
django python rest api backend development,web_backend
express nodejs mongodb api backend,web_backend
spring boot java microservices backend,web_backend
laravel php mysql backend development,web_backend
flask python postgresql rest api backend,web_backend
nodejs express mongodb restful api,web_backend
asp.net c# sql server backend api,web_backend
ruby on rails postgresql backend development,web_backend
fastapi python async backend rest,web_backend
java spring boot hibernate mysql backend,web_backend
grpc microservices docker backend python,web_backend
nestjs typescript nodejs backend api,web_backend
koa nodejs redis backend rest api,web_backend
golang backend rest api postgresql,web_backend
php laravel mysql rest api backend,web_backend
react javascript frontend ui components,frontend
angular typescript frontend web development,frontend
vue.js javascript frontend spa components,frontend
html css javascript responsive design frontend,frontend
nextjs react typescript frontend web,frontend
svelte javascript frontend ui web,frontend
redux react state management frontend,frontend
tailwind css bootstrap html frontend design,frontend
webpack babel javascript frontend build,frontend
jquery html css dom manipulation frontend,frontend
react hooks context api frontend javascript,frontend
material ui react frontend component design,frontend
sass scss css frontend styling design,frontend
figma react frontend ui design components,frontend
typescript react nextjs frontend development,frontend
tensorflow pytorch machine learning python,data_scientist
scikit-learn pandas numpy machine learning,data_scientist
deep learning neural networks keras python,data_scientist
natural language processing nlp python spacy,data_scientist
computer vision opencv pytorch image recognition,data_scientist
data analysis pandas matplotlib seaborn python,data_scientist
random forest xgboost classification prediction,data_scientist
regression clustering statistics machine learning,data_scientist
time series forecasting python statsmodels,data_scientist
huggingface transformers bert nlp text classification,data_scientist
feature engineering model training scikit-learn,data_scientist
data mining statistical analysis hypothesis testing,data_scientist
reinforcement learning gym openai python,data_scientist
recommendation system collaborative filtering python,data_scientist
a/b testing statistical analysis python scipy,data_scientist
docker kubernetes devops ci/cd jenkins,devops
terraform ansible aws infrastructure devops,devops
github actions gitlab ci jenkins pipeline devops,devops
linux bash scripting automation devops,devops
kubernetes helm docker containerization devops,devops
prometheus grafana monitoring devops observability,devops
aws azure gcp cloud devops infrastructure,devops
nginx apache load balancing devops deployment,devops
puppet chef ansible configuration management devops,devops
circleci travis ci pipeline automation devops,devops
elk stack logging monitoring devops kibana,devops
istio service mesh kubernetes microservices devops,devops
devsecops security scanning pipeline devops,devops
git gitlab branching strategy devops workflow,devops
shell scripting python automation devops linux,devops
aws ec2 s3 lambda cloud architecture,cloud_engineer
azure virtual machines blob storage cloud,cloud_engineer
gcp google cloud kubernetes engine cloud,cloud_engineer
terraform cloudformation infrastructure as code cloud,cloud_engineer
serverless lambda azure functions cloud computing,cloud_engineer
aws rds dynamodb database cloud services,cloud_engineer
cloud security iam roles policies aws azure,cloud_engineer
multi cloud architecture aws azure gcp,cloud_engineer
aws sagemaker machine learning cloud deployment,cloud_engineer
azure devops pipelines cloud ci/cd,cloud_engineer
google cloud bigquery data warehouse cloud,cloud_engineer
aws eks kubernetes cloud container orchestration,cloud_engineer
cloud networking vpc subnets routing aws,cloud_engineer
aws sns sqs messaging cloud microservices,cloud_engineer
azure active directory identity management cloud,cloud_engineer
android java kotlin mobile app development,mobile_developer
ios swift swiftui mobile app development,mobile_developer
flutter dart cross platform mobile development,mobile_developer
react native javascript mobile app development,mobile_developer
android studio firebase mobile push notifications,mobile_developer
kotlin coroutines android mobile development,mobile_developer
swift uikit ios mobile app development,mobile_developer
xamarin c# cross platform mobile development,mobile_developer
ionic angular mobile hybrid app development,mobile_developer
flutter bloc state management mobile dart,mobile_developer
android mvvm architecture mobile development,mobile_developer
ios core data sqlite mobile database,mobile_developer
react native redux mobile state management,mobile_developer
flutter firebase mobile backend integration,mobile_developer
kotlin android jetpack compose mobile ui,mobile_developer
cybersecurity penetration testing ethical hacking,cybersecurity
network security firewall intrusion detection,cybersecurity
vulnerability assessment siem incident response,cybersecurity
kali linux metasploit ethical hacking tools,cybersecurity
owasp web application security testing,cybersecurity
forensics malware analysis reverse engineering,cybersecurity
encryption cryptography ssl tls security,cybersecurity
soc threat analysis security operations,cybersecurity
burp suite nmap wireshark security tools,cybersecurity
cissp ceh security certification compliance,cybersecurity
zero trust identity management oauth security,cybersecurity
gdpr hipaa compliance information security,cybersecurity
cloud security aws azure security best practices,cybersecurity
application security code review devsecops,cybersecurity
ransomware analysis incident response forensics,cybersecurity
apache spark hadoop data engineering pipeline,data_engineer
kafka data streaming pipeline real time,data_engineer
airflow etl pipeline data orchestration,data_engineer
snowflake bigquery data warehouse sql,data_engineer
databricks pyspark data lake processing,data_engineer
dbt data transformation sql analytics,data_engineer
hadoop hive pig big data processing,data_engineer
kafka flink stream processing data pipeline,data_engineer
redshift postgresql data warehouse etl,data_engineer
data modeling schema design sql data engineer,data_engineer
delta lake data lakehouse databricks spark,data_engineer
aws glue s3 data lake pipeline etl,data_engineer
google dataflow bigquery data engineering,data_engineer
azure synapse data factory pipeline etl,data_engineer
python pandas sql data pipeline automation,data_engineer
sql mysql postgresql database administration,database_admin
oracle dba database performance tuning,database_admin
mongodb nosql database administration indexing,database_admin
postgresql stored procedures triggers optimization,database_admin
database backup recovery replication mysql,database_admin
query optimization indexing database performance,database_admin
redis caching database performance optimization,database_admin
cassandra nosql distributed database admin,database_admin
sql server mssql database administration,database_admin
database schema design normalization sql,database_admin
mysql replication clustering high availability,database_admin
oracle rac database clustering administration,database_admin
database security encryption access control,database_admin
elasticsearch indexing search database admin,database_admin
database migration version control flyway,database_admin
figma ui ux design wireframe prototype,ui_ux_designer
sketch adobe xd user interface design,ui_ux_designer
user research usability testing ux design,ui_ux_designer
design system component library figma,ui_ux_designer
invision zeplin prototype ui design handoff,ui_ux_designer
photoshop illustrator visual design ui,ui_ux_designer
wireframing prototyping user experience design,ui_ux_designer
typography color theory visual hierarchy design,ui_ux_designer
accessibility wcag ui ux inclusive design,ui_ux_designer
motion design after effects ui animation,ui_ux_designer
user journey mapping ux research design,ui_ux_designer
responsive design mobile first ui ux,ui_ux_designer
design thinking user centered design ux,ui_ux_designer
canva miro design collaboration ui,ui_ux_designer
branding identity design visual communication,ui_ux_designer
solidity ethereum smart contracts blockchain,blockchain_developer
web3 defi nft blockchain development,blockchain_developer
truffle hardhat ethereum development tools,blockchain_developer
polygon solana rust blockchain development,blockchain_developer
metamask ipfs decentralized application dapp,blockchain_developer
chainlink oracle smart contract blockchain,blockchain_developer
hyperledger enterprise blockchain development,blockchain_developer
bitcoin lightning network blockchain development,blockchain_developer
defi yield farming liquidity pool blockchain,blockchain_developer
